weekday_id,weekday_name,hour,count,amount,count_diff,amount_diff
2,Tuesday,11,75,5345.7,-1,-225.051428571428571428571428571
2,Tuesday,12,67,4705.14,-9,-949.582857142857142857142857143
2,Tuesday,13,69,5059.97,-4,-471.032857142857142857142857143
2,Tuesday,14,80,6477.71,6,1000.468571428571428571428571429
2,Tuesday,15,58,3696.4,-12,-1597.181428571428571428571428571
2,Tuesday,16,76,5691.44,10,657.635714285714285714285714286
2,Tuesday,17,83,5847.35,3,64.744285714285714285714285714
2,Tuesday,18,79,5261.68,0,-469.282857142857142857142857143
2,Tuesday,19,77,6180.73,-4,122.678571428571428571428571429
2,Tuesday,20,75,5509.33,8,476.061428571428571428571428571
2,Tuesday,21,57,5113.24,7,904.797142857142857142857142857
2,Tuesday,22,34,2529.46,-1,-98.53
2,Tuesday,23,15,1100.93,-3,-239.891428571428571428571428571
5,Friday,0,14,1273.67,2,327.795714285714285714285714286
5,Friday,1,13,1029.5,0,-161.152857142857142857142857143
5,Friday,2,15,852.64,4,105.542857142857142857142857143
5,Friday,3,20,1326.6,1,-67.288571428571428571428571429
5,Friday,4,37,2458.52,3,-16.068571428571428571428571429
5,Friday,5,45,4247.92,0,727.882857142857142857142857143
5,Friday,6,62,5500.44,4,674.268571428571428571428571429
5,Friday,7,84,6092.37,17,697.504285714285714285714285714
5,Friday,8,72,5357.51,-4,-418.58
5,Friday,9,88,6043.3,12,435.024285714285714285714285714
5,Friday,10,89,6717.32,13,1102.192857142857142857142857143
5,Friday,11,96,7121.51,20,1550.758571428571428571428571429
5,Friday,12,95,7101.54,19,1446.817142857142857142857142857
5,Friday,13,79,5512.48,6,-18.522857142857142857142857143
5,Friday,14,73,4963.14,-1,-514.101428571428571428571428571
5,Friday,15,67,4751.66,-3,-541.921428571428571428571428571
5,Friday,16,62,4428.68,-4,-605.124285714285714285714285714
5,Friday,17,64,4428.28,-16,-1354.325714285714285714285714286
5,Friday,18,71,4899.12,-8,-831.842857142857142857142857143
5,Friday,19,86,6655.96,5,597.908571428571428571428571429
5,Friday,20,42,3317.13,-25,-1716.138571428571428571428571429
5,Friday,21,49,3895.02,-1,-313.422857142857142857142857143
5,Friday,22,43,3174.67,8,546.68
5,Friday,23,13,1014.1,-5,-326.721428571428571428571428571
6,Saturday,0,11,764.69,-1,-181.184285714285714285714285714
6,Saturday,1,15,1037.64,2,-153.012857142857142857142857143
6,Saturday,2,13,864.9,2,117.802857142857142857142857143
6,Saturday,3,17,1301.65,-2,-92.238571428571428571428571429
6,Saturday,4,36,2806.08,2,331.491428571428571428571428571
6,Saturday,5,46,3095.05,1,-424.987142857142857142857142857
6,Saturday,6,68,5642.93,10,816.758571428571428571428571429
6,Saturday,7,61,6630.83,-6,1235.964285714285714285714285714
6,Saturday,8,73,5911.21,-3,135.12
6,Saturday,9,82,5954.44,6,346.164285714285714285714285714
6,Saturday,10,73,5233.52,-3,-381.607142857142857142857142857
6,Saturday,11,72,5774.77,-4,204.018571428571428571428571429
6,Saturday,12,77,5929.62,1,274.897142857142857142857142857
6,Saturday,13,80,6019.89,7,488.887142857142857142857142857
6,Saturday,14,73,5464.4,-1,-12.841428571428571428571428571
6,Saturday,15,71,5500.55,1,206.968571428571428571428571429
6,Saturday,16,52,3821.69,-14,-1212.114285714285714285714285714
6,Saturday,17,81,6368.74,1,586.134285714285714285714285714
6,Saturday,18,83,5733.35,4,2.387142857142857142857142857
6,Saturday,19,90,6761.73,9,703.678571428571428571428571429
6,Saturday,20,67,4201.64,0,-831.628571428571428571428571429
6,Saturday,21,43,2723.14,-7,-1485.302857142857142857142857143
6,Saturday,22,33,2571.95,-2,-56.04
6,Saturday,23,20,1171.14,2,-169.681428571428571428571428571
3,Wednesday,0,11,980.51,-1,34.635714285714285714285714286
3,Wednesday,1,18,1248.69,5,58.037142857142857142857142857
3,Wednesday,2,5,562.9,-6,-184.197142857142857142857142857
3,Wednesday,3,24,1882.44,5,488.551428571428571428571428571
3,Wednesday,4,32,2352.75,-2,-121.838571428571428571428571429
3,Wednesday,5,56,4648.64,11,1128.602857142857142857142857143
3,Wednesday,6,50,5862.79,-8,1036.618571428571428571428571429
3,Wednesday,7,51,4194.03,-16,-1200.835714285714285714285714286
3,Wednesday,8,76,5382.74,0,-393.35
3,Wednesday,9,74,5171.35,-2,-436.925714285714285714285714286
3,Wednesday,10,80,5881.13,4,266.002857142857142857142857143
3,Wednesday,11,70,5193.19,-6,-377.561428571428571428571428571
3,Wednesday,12,72,4647.88,-4,-1006.842857142857142857142857143
3,Wednesday,13,72,4999.07,-1,-531.932857142857142857142857143
3,Wednesday,14,71,5138.22,-3,-339.021428571428571428571428571
3,Wednesday,15,79,6151.12,9,857.538571428571428571428571429
3,Wednesday,16,75,5795.55,9,761.745714285714285714285714286
3,Wednesday,17,92,6525.54,12,742.934285714285714285714285714
3,Wednesday,18,63,4670.08,-16,-1060.882857142857142857142857143
3,Wednesday,19,81,5469.62,0,-588.431428571428571428571428571
3,Wednesday,20,75,5552.86,8,519.591428571428571428571428571
3,Wednesday,21,48,3762.63,-2,-445.812857142857142857142857143
3,Wednesday,22,40,3411.07,5,783.08
3,Wednesday,23,19,1317.69,1,-23.131428571428571428571428571
4,Thursday,0,12,859.08,0,-86.794285714285714285714285714
4,Thursday,1,13,1238.65,0,47.997142857142857142857142857
4,Thursday,2,9,618.04,-2,-129.057142857142857142857142857
4,Thursday,3,21,1549.69,2,155.801428571428571428571428571
4,Thursday,4,37,2670.24,3,195.651428571428571428571428571
4,Thursday,5,33,2135.93,-12,-1384.107142857142857142857142857
4,Thursday,6,54,4093.26,-4,-732.911428571428571428571428571
4,Thursday,7,74,5791.03,7,396.164285714285714285714285714
4,Thursday,8,69,5580.42,-7,-195.67
4,Thursday,9,75,5555.39,-1,-52.885714285714285714285714286
4,Thursday,10,83,6532.02,7,916.892857142857142857142857143
4,Thursday,11,84,5601.85,8,31.098571428571428571428571429
4,Thursday,12,81,6319.28,5,664.557142857142857142857142857
4,Thursday,13,72,6359.82,-1,828.817142857142857142857142857
4,Thursday,14,79,5788.06,5,310.818571428571428571428571429
4,Thursday,15,58,4437.37,-12,-856.211428571428571428571428571
4,Thursday,16,59,3971.22,-7,-1062.584285714285714285714285714
4,Thursday,17,81,5683.43,1,-99.175714285714285714285714286
4,Thursday,18,75,5620.77,-4,-110.192857142857142857142857143
4,Thursday,19,72,5119.76,-9,-938.291428571428571428571428571
4,Thursday,20,67,4688.6,0,-344.668571428571428571428571429
4,Thursday,21,58,4864.03,8,655.587142857142857142857142857
4,Thursday,22,39,2675.03,4,47.04
4,Thursday,23,19,1648.05,1,307.228571428571428571428571429
1,Monday,0,18,1185.78,6,239.905714285714285714285714286
1,Monday,1,6,797.89,-7,-392.762857142857142857142857143
1,Monday,2,12,820.31,1,73.212857142857142857142857143
1,Monday,3,20,1228.85,1,-165.038571428571428571428571429
1,Monday,4,31,1933.0,-3,-541.588571428571428571428571429
